岗位,岗位类别,知识点,企业常见考察方向,样例问题,参考答题点,难度,数据来源,许可备注
Python后端开发工程师,技术岗,数据库索引,中小厂常考接口开发和数据库性能,"PostgreSQL 或 MySQL 索引什么时候会失效？你如何定位慢查询？","索引字段、最左前缀、函数/隐式转换、执行计划、慢日志、业务场景",中等,项目整理+公开资料改写,内部演示样例
Python后端开发工程师,技术岗,Redis缓存,后端岗位常考缓存一致性和高并发兜底,"Redis 在你的项目中解决了什么问题？如果缓存和数据库不一致怎么办？","缓存场景、过期策略、双写一致性、延迟双删、降级兜底",中等,项目整理+公开资料改写,内部演示样例
Java后端开发工程师,技术岗,Java并发,校招常考集合、线程和JVM基础,"HashMap 为什么线程不安全？扩容过程大致是什么？","数组链表/红黑树、扩容、rehash、并发修改风险、ConcurrentHashMap",中等,公开资料改写,内部演示样例
前端开发工程师,技术岗,浏览器与JS,前端岗位常考事件循环、渲染和框架原理,"说一下 JavaScript 事件循环，你在项目中遇到过相关问题吗？","宏任务、微任务、Promise、setTimeout、渲染时机、项目案例",中等,公开资料改写,内部演示样例
测试工程师,技术岗,测试用例设计,测试岗位常考等价类、边界值和异常流程,"给一个登录功能，你会设计哪些测试用例？","正常登录、密码错误、账号不存在、锁定、边界输入、安全和兼容性",简单,项目整理,内部演示样例
算法工程师,技术岗,模型评估,算法岗常考指标选择和过拟合,"Precision、Recall、F1 分别适合什么场景？","正负样本、误报漏报、业务代价、阈值选择、混淆矩阵",中等,公开资料改写,内部演示样例
数据分析师,数据岗,指标拆解,数据岗常考业务指标和异常归因,"转化率下降，你会从哪些维度拆解原因？","渠道、人群、时间、漏斗步骤、活动、产品改动、数据质量",中等,项目整理,内部演示样例
产品助理,产品岗,需求分析,产品助理常考用户场景和优先级,"如何判断一个需求是真需求还是伪需求？","用户场景、痛点频次、业务目标、数据验证、成本收益、优先级",中等,项目整理,内部演示样例
人力资源专员,职能岗,招聘流程,HR岗位常考招聘流程和沟通协调,"完整招聘流程通常包括哪些环节？","需求确认、JD发布、简历筛选、邀约、面试安排、反馈、入职跟进",简单,项目整理,内部演示样例
运营助理,运营岗,活动复盘,运营岗位常考执行细节和数据复盘,"如果活动参与人数低于预期，你会怎么分析？","渠道曝光、报名转化、时间节点、文案、用户画像、复盘动作",中等,项目整理,内部演示样例
